StudentId,School,Class Period,Condition,Consent,Lunch Status,ELL,American Indian or Alaskan Native,Asian or Pacific Islander,Black,Hispanic,White,Two or More Races,6th Grade MSP Reading,6th Grade MSP Math,Student-Teacher Ratio,Pre-Test,Post-Test,Learning Gain,Number of Assists,# EX Problems Completed,# AP problems completed,# AP Problems correct,mood_neutral,mood_down,mood_up,mood_q,attention_yes,attention_no,attention_idle,attention_q,attendance_present,attendance_missing,mood_neutral_attention_yes_attendance_present,mood_down_attention_yes_attendance_present,mood_up_attention_yes_attendance_present,mood_q_attention_yes_attendance_present
390,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,7.5,15.5,8.0,1,858,474,462,88,12,2,0,96,5,1,0,102,0,84,10,2,0
391,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,12.5,19.5,7.0,0,1679,523,514,104,0,0,0,98,1,3,2,104,0,98,0,0,0
392,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,9.5,11.75,2.25,1,728,397,384,95,1,7,0,94,7,2,0,103,0,87,1,6,0
393,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,19,25,6.0,0,1898,571,563,92,7,1,4,89,7,2,6,100,4,85,3,1,0
395,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,19,23.5,4.5,1,1431,514,510,101,0,2,0,94,6,3,0,103,0,92,0,2,0
397,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,8,10.75,2.75,3,716,286,253,79,16,2,5,74,21,2,5,97,5,65,7,2,0
398,South Shore,4,tablet,NA,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,9,14.5,5.5,3,1071,488,467,96,1,2,3,90,7,0,5,99,3,88,1,1,0
399,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,7,11.75,4.75,3,944,471,372,52,34,2,14,71,15,2,14,88,14,49,20,2,0
400,South Shore,4,tablet,y,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,9,16,7.0,1,1264,525,496,100,0,4,0,98,2,4,0,104,0,96,0,2,0
401,South Shore,4,tablet,NA,63.6,16.3,1.0,27.1,41.3,10.5,11.2,8.9,70.3,56.7,28.0,4,12,8.0,0,831,286,272,46,0,2,56,37,11,0,56,48,56,36,0,1,0
